ds,yhat,Commodity,Market
2023-03-31,72.01991246857207,Wheat,Nakuru Wakulima
2023-04-03,80.56110739529635,Wheat,Nakuru Wakulima
2023-04-04,75.64890971059442,Wheat,Nakuru Wakulima
2023-04-05,68.42223584646605,Wheat,Nakuru Wakulima
2023-04-11,75.60659019595252,Wheat,Nakuru Wakulima
2023-04-13,68.59626885352151,Wheat,Nakuru Wakulima
2023-04-17,77.92034173684422,Wheat,Nakuru Wakulima
2023-04-18,72.14336335674533,Wheat,Nakuru Wakulima
2023-04-19,64.1687087301942,Wheat,Nakuru Wakulima
2023-04-20,65.08633736497383,Wheat,Nakuru Wakulima
2023-04-24,75.90011835029681,Wheat,Nakuru Wakulima
2023-04-25,70.77909419196287,Wheat,Nakuru Wakulima
2023-04-26,63.55076298999846,Wheat,Nakuru Wakulima
2023-04-27,65.2751093891578,Wheat,Nakuru Wakulima
2023-04-28,70.09169201880644,Wheat,Nakuru Wakulima
2023-05-02,74.9880575897487,Wheat,Nakuru Wakulima
2023-05-03,68.36685798358077,Wheat,Nakuru Wakulima
2023-05-04,70.57499455589122,Wheat,Nakuru Wakulima
2023-05-05,75.73260113108412,Wheat,Nakuru Wakulima
2023-05-08,85.08025802006576,Wheat,Nakuru Wakulima
2023-05-09,80.3336517495742,Wheat,Nakuru Wakulima
2023-05-10,73.21139287240952,Wheat,Nakuru Wakulima
2023-05-11,74.76207271652024,Wheat,Nakuru Wakulima
2023-05-12,79.12268048272566,Wheat,Nakuru Wakulima
2023-05-16,79.66170338054998,Wheat,Nakuru Wakulima
2023-05-17,71.44963206972783,Wheat,Nakuru Wakulima
2023-05-18,71.95230290745053,Wheat,Nakuru Wakulima
2023-05-19,75.34202678383059,Wheat,Nakuru Wakulima
2023-05-22,79.57714102219656,Wheat,Nakuru Wakulima
2023-05-23,73.38099657954668,Wheat,Nakuru Wakulima
2023-05-24,65.02680564257216,Wheat,Nakuru Wakulima
2023-05-25,65.61041422382279,Wheat,Nakuru Wakulima
2023-05-26,69.30907360669896,Wheat,Nakuru Wakulima
2023-05-29,75.78126122842215,Wheat,Nakuru Wakulima
2023-05-30,70.67545379248463,Wheat,Nakuru Wakulima
2023-05-31,63.595042139392284,Wheat,Nakuru Wakulima
2023-06-02,70.71659997955031,Wheat,Nakuru Wakulima
2023-06-05,81.52132998851947,Wheat,Nakuru Wakulima
2023-06-06,77.727820055056,Wheat,Nakuru Wakulima
2023-06-07,71.7602907239146,Wheat,Nakuru Wakulima
2023-06-08,74.63598922269759,Wheat,Nakuru Wakulima
2023-06-09,80.49030746125565,Wheat,Nakuru Wakulima
2023-06-12,91.53353029909736,Wheat,Nakuru Wakulima
2023-06-15,81.94879394953918,Wheat,Nakuru Wakulima
2023-06-16,86.29689823412595,Wheat,Nakuru Wakulima
2023-06-19,91.34025529906573,Wheat,Nakuru Wakulima
2023-06-20,84.67098864723462,Wheat,Nakuru Wakulima
